head,head_id,relation,tail,tail_id,confidence,source,sentence
艾伦·图灵,E_PER_TURING,被誉为,计算机科学与人工智能之父,,0.88,trigger_window,艾伦·麦席森·图灵，OBE，FRS（英语：Alan Mathison Turing，又译阿兰·图灵，Turing也常翻译成涂林或者杜林，1912年6月23日—1954年6月7日），英国计算机科学家、数学家、逻辑学家、密码分析学家和理论生物学家，他被誉为计算机科学与人工智能之父。
Hut 8,E_ORG_HUT8,负责研究,德国海军密码分析,,0.88,trigger_window,二次世界大战期间，“Hut 8”小组，负责德国海军密码分析。
艾伦·图灵,E_PER_TURING,设计,Bombe,E_PROD_BOMBE,0.97,trigger_window,期间他设计了一些加速破译德国密码的技术，包括改进波兰战前研制的机器Bombe，一种可以找到恩尼格玛密码机设置的机电机器。
艾伦·图灵,E_PER_TURING,撰写,计算机器和智能,E_PROD_CMI,0.95,trigger_window,图灵对于人工智能的发展有诸多贡献，例如图灵曾写过一篇名为《计算机器和智能》的论文，提问“机器会思考吗？
艾伦·图灵,E_PER_TURING,撰写,机器会思考吗,E_PROD_CMT,0.93,pattern,图灵对于人工智能的发展有诸多贡献，例如图灵曾写过一篇名为《计算机器和智能》的论文，提问“机器会思考吗？
艾伦·图灵,E_PER_TURING,提出,图灵机,E_PROD_TM,0.97,trigger_window,此外，图灵提出的著名的图灵机模型为现代计算机的逻辑工作方式奠定了基础。
艾伦·图灵,E_PER_TURING,父亲,朱利斯·麦席森·图灵,E_PER_JULIUS,0.97,trigger_window,图灵的父亲朱利斯·麦席森·图灵（Julius Mathison Turing）是一名英属印度的公务员。
艾伦·图灵,E_PER_TURING,母亲,Ethel Sara Stoney,E_PER_ETHEL,0.97,trigger_window,1911年，图灵的母亲Ethel Sara Stoney在英属印度怀了孕。
艾伦·图灵,E_PER_TURING,出生于,帕丁顿,E_LOC_PADDINGTON,0.97,trigger_window,因为他们希望艾伦在英国出生，所以回到伦敦，住在帕丁顿，并在那里生下了艾伦。
艾伦·图灵,E_PER_TURING,就读于,St. Michael's,E_ORG_ST_MICHAEL,0.92,structured_pattern,六岁的时候，他的父母为他在一间叫圣迈克尔（St. Michael's）的日间学校注册。
艾伦·图灵,E_PER_TURING,就读于,舍伯恩学校,E_ORG_SHERBORNE,0.97,trigger_window,1926年，他十三岁的时候考入在多塞特郡的舍伯恩学校。
剑桥大学国王学院,E_ORG_CAMBRIDGE_KINGS,以…命名,艾伦·图灵,E_PER_TURING,0.86,structured_pattern,剑桥大学国王学院的电脑房现在以图灵为名
艾伦·图灵,E_PER_TURING,就读于,剑桥大学国王学院,E_ORG_CAMBRIDGE_KINGS,0.97,trigger_window,1931年，图灵考入剑桥大学国王学院攻读本科，并获得了数学一等荣誉。
